scheme,domainLength,digitsInDomain,specialInDomain,dotsInDomain,numberDomainSegments,lengthSegmentsRatioDomain,pathLength,digitsInPath,specialInPath,numberQuersSegments,lengthQuerySegRatio,schemeInQuery,longestCharRatio,longestDigitRatio,phishWord,ip,phish
1,27,0,3,3,4,0.25,60,0,11,0,0.0,0,0.1170212765957446,0.0,0,0,1
1,24,2,2,2,3,0.3333333333333333,67,9,2,5,0.2,1,0.3943661971830985,0.0633802816901408,0,0,1
2,12,0,1,1,2,0.5,13,0,2,0,0.0,0,0.2424242424242424,0.0,0,0,1
2,14,0,2,2,3,0.3333333333333333,47,1,9,1,1.0,1,0.0904761904761904,0.0095238095238095,2,0,1
1,21,0,2,2,3,0.3333333333333333,42,8,7,1,1.0,1,0.1645569620253164,0.050632911392405,0,0,1
2,17,0,1,1,2,0.5,20,0,3,0,0.0,0,0.3111111111111111,0.0,0,0,1
2,19,0,3,2,4,0.25,55,13,10,1,1.0,1,0.108695652173913,0.0652173913043478,0,0,1
1,21,0,3,2,4,0.25,44,2,4,0,0.0,0,0.3055555555555556,0.0277777777777777,1,0,1
1,22,0,1,1,2,0.5,57,6,9,0,0.0,0,0.2093023255813953,0.0465116279069767,1,0,1
1,20,0,1,1,2,0.5,14,0,3,1,1.0,1,0.3333333333333333,0.0625,0,0,1
1,25,0,2,2,3,0.3333333333333333,75,6,13,0,0.0,0,0.1308411214953271,0.0373831775700934,3,0,1
1,17,0,1,1,2,0.5,21,0,3,0,0.0,0,0.2222222222222222,0.0,2,0,1
1,12,0,2,2,3,0.3333333333333333,29,12,3,0,0.0,0,0.125,0.1666666666666666,1,0,1
2,11,0,1,1,2,0.5,20,0,4,0,0.0,0,0.2051282051282051,0.0,1,0,1
2,15,0,2,2,3,0.3333333333333333,50,0,8,0,0.0,0,0.1095890410958904,0.0,1,0,1
2,15,0,1,1,2,0.5,31,0,5,0,0.0,0,0.2037037037037037,0.0,1,0,1
1,10,0,1,1,2,0.5,14,3,4,0,0.0,0,0.1935483870967742,0.0967741935483871,0,0,1
1,11,0,2,2,3,0.3333333333333333,30,9,5,0,0.0,0,0.1666666666666666,0.1041666666666666,1,0,1
2,18,0,1,1,2,0.5,53,0,7,0,0.0,0,0.1772151898734177,0.0,0,0,1
2,15,0,2,1,3,0.3333333333333333,67,2,10,0,0.0,0,0.1555555555555555,0.0222222222222222,1,0,1
2,15,0,2,2,3,0.3333333333333333,86,0,10,0,0.0,0,0.128440366972477,0.0,0,0,1
2,15,0,2,2,3,0.3333333333333333,6,0,2,1,1.0,1,0.1290322580645161,0.032258064516129,1,0,1
1,29,0,2,2,3,0.3333333333333333,44,6,8,0,0.0,0,0.2,0.05,3,0,1
1,15,4,1,1,2,0.5,46,12,15,0,0.0,0,0.1029411764705882,0.0588235294117647,1,0,1
2,24,0,1,1,2,0.5,18,0,3,0,0.0,0,0.4,0.0,1,0,1
2,23,1,1,1,2,0.5,20,9,3,0,0.0,0,0.3529411764705882,0.1764705882352941,1,0,1
1,18,0,2,2,3,0.3333333333333333,36,6,7,0,0.0,0,0.1639344262295081,0.0655737704918032,0,0,1
2,16,0,1,1,2,0.5,12,0,2,1,1.0,1,0.2241379310344827,0.0689655172413793,2,0,1
1,26,0,3,3,4,0.25,14,0,3,1,1.0,1,0.1031746031746031,0.0238095238095238,1,0,1
1,14,0,1,1,2,0.5,18,3,2,0,0.0,0,0.3333333333333333,0.0769230769230769,2,0,1
1,15,0,3,3,4,0.25,9,1,3,0,0.0,0,0.1290322580645161,0.032258064516129,0,0,1
2,15,0,2,2,3,0.3333333333333333,40,10,9,0,0.0,0,0.1269841269841269,0.1269841269841269,2,0,1
1,19,0,2,2,3,0.3333333333333333,17,0,3,2,0.5,1,0.0963855421686747,0.0602409638554216,2,0,1
1,20,0,2,2,3,0.3333333333333333,21,7,3,0,0.0,0,0.25,0.1458333333333333,1,0,1
2,12,0,1,1,2,0.5,31,0,3,0,0.0,0,0.3333333333333333,0.0,0,0,1
2,20,0,2,2,3,0.3333333333333333,55,16,9,0,0.0,0,0.144578313253012,0.0843373493975903,2,0,1
1,16,0,1,1,2,0.5,1,0,1,0,0.0,0,0.5,0.0,0,0,1
2,19,0,3,1,4,0.25,25,1,5,0,0.0,0,0.1538461538461538,0.0192307692307692,1,0,1
2,27,0,1,1,2,0.5,10,0,2,2,0.5,1,0.3538461538461538,0.0153846153846153,1,0,1
2,17,0,2,2,3,0.3333333333333333,43,12,8,0,0.0,0,0.1323529411764706,0.1176470588235294,0,0,1
1,12,0,1,1,2,0.5,183,62,51,0,0.0,0,0.0396039603960396,0.0247524752475247,0,0,1
1,13,0,2,2,3,0.3333333333333333,51,6,11,0,0.0,0,0.0845070422535211,0.056338028169014,0,0,1
2,14,0,2,2,3,0.3333333333333333,103,0,14,0,0.0,0,0.072,0.0,2,0,1
2,10,1,2,2,3,0.3333333333333333,18,0,2,1,1.0,1,0.2444444444444444,0.0888888888888888,0,0,1
1,16,0,2,2,3,0.3333333333333333,42,0,6,0,0.0,0,0.1384615384615384,0.0,1,0,1
2,21,0,2,2,3,0.3333333333333333,44,0,6,1,1.0,1,0.15,0.0125,0,0,1
2,31,0,2,2,3,0.3333333333333333,106,22,16,0,0.0,0,0.1586206896551724,0.0551724137931034,1,0,1
1,17,0,1,1,2,0.5,13,0,2,1,1.0,1,0.1940298507462686,0.044776119402985,0,0,1
2,18,3,2,2,3,0.3333333333333333,85,0,13,0,0.0,0,0.09009009009009,0.027027027027027,0,0,1
2,27,0,2,2,3,0.3333333333333333,20,0,2,0,0.0,0,0.2727272727272727,0.0,1,0,1
2,20,0,1,1,2,0.5,85,2,14,0,0.0,0,0.1415929203539823,0.0176991150442477,2,0,1
1,17,0,2,2,3,0.3333333333333333,27,0,4,0,0.0,0,0.196078431372549,0.0,0,0,1
1,7,0,1,1,2,0.5,24,7,3,0,0.0,0,0.2631578947368421,0.1842105263157894,0,0,1
2,20,0,2,2,3,0.3333333333333333,20,0,3,1,1.0,1,0.1694915254237288,0.0169491525423728,3,0,1
1,14,0,2,2,3,0.3333333333333333,55,0,8,0,0.0,0,0.1447368421052631,0.0,0,0,1
1,16,0,1,1,2,0.5,20,0,3,1,1.0,1,0.2653061224489796,0.0408163265306122,0,0,1
1,17,0,2,1,3,0.3333333333333333,6,0,2,2,0.5,1,0.0952380952380952,0.0476190476190476,1,0,1
2,25,0,3,1,4,0.25,33,8,7,0,0.0,0,0.1666666666666666,0.0606060606060606,2,0,1
1,18,0,2,2,3,0.3333333333333333,12,0,2,0,0.0,0,0.2702702702702703,0.0,0,0,1
1,14,0,1,1,2,0.5,10,4,2,1,1.0,1,0.217391304347826,0.0869565217391304,1,0,1
1,15,0,1,1,2,0.5,23,8,3,0,0.0,0,0.2444444444444444,0.1777777777777777,1,0,1
1,13,0,2,2,3,0.3333333333333333,20,6,3,0,0.0,0,0.175,0.15,0,0,1
2,20,0,2,2,3,0.3333333333333333,42,7,9,0,0.0,0,0.1857142857142857,0.0571428571428571,0,0,1
2,10,1,1,1,2,0.5,43,0,6,1,1.0,1,0.0961538461538461,0.0096153846153846,5,0,1
2,13,0,2,1,3,0.3333333333333333,56,17,11,0,0.0,0,0.1298701298701298,0.0649350649350649,0,0,1
1,16,0,4,4,5,0.2,14,0,3,1,1.0,1,0.0909090909090909,0.0454545454545454,2,0,1
1,19,0,2,2,3,0.3333333333333333,29,4,6,0,0.0,0,0.2181818181818181,0.0727272727272727,1,0,1
1,22,0,2,2,3,0.3333333333333333,14,0,2,1,1.0,1,0.1666666666666666,0.037037037037037,2,0,1
1,19,0,2,2,3,0.3333333333333333,42,0,5,0,0.0,0,0.1764705882352941,0.0,1,0,1
2,24,0,1,1,2,0.5,1,0,1,0,0.0,0,0.6060606060606061,0.0,0,0,1
2,10,1,1,1,2,0.5,1,0,1,0,0.0,0,0.3157894736842105,0.0526315789473684,0,0,1
1,22,0,2,2,3,0.3333333333333333,1,0,1,0,0.0,0,0.4666666666666667,0.0,1,0,1
1,21,0,1,1,2,0.5,26,4,6,0,0.0,0,0.3148148148148148,0.037037037037037,0,0,1
1,14,1,2,2,3,0.3333333333333333,10,0,2,1,1.0,1,0.1785714285714285,0.0892857142857142,1,0,1
2,15,0,2,2,3,0.3333333333333333,23,0,4,0,0.0,0,0.1956521739130435,0.0,0,0,1
1,10,0,1,1,2,0.5,38,0,7,0,0.0,0,0.1636363636363636,0.0,1,0,1
1,18,0,3,2,4,0.25,19,5,4,0,0.0,0,0.1363636363636363,0.1136363636363636,1,0,1
2,16,0,2,2,3,0.3333333333333333,22,0,5,0,0.0,0,0.1739130434782608,0.0,2,0,1
1,54,12,10,4,11,0.0909090909090909,69,17,14,1,1.0,1,0.0857142857142857,0.0285714285714285,5,0,1
2,13,0,1,1,2,0.5,17,0,2,0,0.0,0,0.2631578947368421,0.0,1,0,1
2,21,0,2,2,3,0.3333333333333333,43,2,8,0,0.0,0,0.1805555555555555,0.0277777777777777,1,0,1
2,18,0,3,2,4,0.25,8,5,3,0,0.0,0,0.2058823529411764,0.1176470588235294,0,0,1
1,21,0,2,2,3,0.3333333333333333,40,12,8,0,0.0,0,0.1911764705882352,0.0588235294117647,1,0,1
2,13,0,1,1,2,0.5,74,0,14,0,0.0,0,0.0947368421052631,0.0,4,0,1
2,11,0,1,1,2,0.5,41,0,9,0,0.0,0,0.1166666666666666,0.0,1,0,1
2,22,0,2,2,3,0.3333333333333333,86,20,11,0,0.0,0,0.0948275862068965,0.0344827586206896,2,0,1
1,15,0,2,2,3,0.3333333333333333,17,9,3,0,0.0,0,0.1794871794871795,0.2307692307692307,0,0,1
2,21,0,2,2,3,0.3333333333333333,86,0,12,0,0.0,0,0.1478260869565217,0.0,1,0,1
2,14,0,2,2,3,0.3333333333333333,9,0,2,1,1.0,1,0.1333333333333333,0.1166666666666666,1,0,1
2,15,0,2,2,3,0.3333333333333333,6,0,2,1,1.0,1,0.1777777777777777,0.0666666666666666,1,0,1
2,27,0,2,2,3,0.3333333333333333,1,0,1,2,0.5,1,0.1809523809523809,0.1714285714285714,5,0,1
1,12,0,2,2,3,0.3333333333333333,11,0,2,12,0.0833333333333333,1,0.0068728522336769,0.0114547537227949,0,0,1
1,21,0,2,1,3,0.3333333333333333,82,9,11,0,0.0,0,0.1272727272727272,0.0454545454545454,1,0,1
2,15,0,2,2,3,0.3333333333333333,42,0,6,0,0.0,0,0.1384615384615384,0.0,1,0,1
1,8,1,2,1,3,0.3333333333333333,22,0,3,1,1.0,1,0.1886792452830188,0.0377358490566037,1,0,1
2,15,0,1,1,2,0.5,15,0,2,0,0.0,0,0.2894736842105263,0.0,1,0,1
1,12,0,1,1,2,0.5,47,0,11,0,0.0,0,0.1363636363636363,0.0,1,0,1
2,30,0,2,2,3,0.3333333333333333,30,0,6,0,0.0,0,0.3235294117647059,0.0,1,0,1
2,12,0,1,1,2,0.5,65,43,8,0,0.0,0,0.1058823529411764,0.2235294117647059,0,0,1
1,26,0,2,2,3,0.3333333333333333,45,7,9,0,0.0,0,0.2307692307692307,0.0512820512820512,2,0,1
1,11,0,2,2,3,0.3333333333333333,50,10,8,0,0.0,0,0.1470588235294117,0.088235294117647,1,0,1
2,9,0,1,1,2,0.5,26,0,4,0,0.0,0,0.2790697674418604,0.0,1,0,1
1,14,0,2,1,3,0.3333333333333333,12,8,4,0,0.0,0,0.1818181818181818,0.1212121212121212,0,0,1
1,20,0,2,2,3,0.3333333333333333,47,6,10,0,0.0,0,0.1756756756756756,0.054054054054054,1,0,1
1,18,0,2,2,3,0.3333333333333333,10,0,2,2,0.5,1,0.0707964601769911,0.0530973451327433,1,0,1
1,19,0,1,1,2,0.5,14,3,3,0,0.0,0,0.375,0.075,1,0,1
2,23,0,3,3,4,0.25,34,14,6,1,1.0,1,0.044,0.02,2,0,1
2,24,0,2,2,3,0.3333333333333333,48,9,8,0,0.0,0,0.2,0.075,2,0,1
1,7,0,1,1,2,0.5,18,0,3,0,0.0,0,0.25,0.0,0,0,1
1,15,1,2,2,3,0.3333333333333333,46,14,8,0,0.0,0,0.1617647058823529,0.0588235294117647,0,0,1
2,18,0,2,2,3,0.3333333333333333,21,9,5,0,0.0,0,0.2340425531914893,0.0851063829787234,1,0,1
2,18,0,3,3,4,0.25,40,0,7,16,0.0625,1,0.040983606557377,0.0081967213114754,1,0,1
1,14,1,3,3,4,0.25,10,4,2,0,0.0,0,0.1290322580645161,0.1290322580645161,1,0,1
2,15,0,1,1,2,0.5,31,1,6,0,0.0,0,0.2222222222222222,0.0185185185185185,1,0,1
2,21,0,2,2,3,0.3333333333333333,67,9,12,1,1.0,1,0.1313131313131313,0.0505050505050505,3,0,1
1,28,0,2,2,3,0.3333333333333333,43,19,4,0,0.0,0,0.2564102564102564,0.2435897435897435,1,0,1
1,11,0,2,1,3,0.3333333333333333,112,0,12,0,0.0,0,0.1076923076923077,0.0,0,0,1
2,15,0,2,2,3,0.3333333333333333,78,1,11,0,0.0,0,0.099009900990099,0.0099009900990099,1,0,1
1,14,0,2,2,3,0.3333333333333333,22,4,4,0,0.0,0,0.1395348837209302,0.0697674418604651,1,0,1
2,13,0,3,2,4,0.25,27,0,4,1,1.0,1,0.125,0.015625,1,0,1
1,15,0,3,3,4,0.25,22,2,4,0,0.0,0,0.1590909090909091,0.0454545454545454,0,0,1
1,12,0,2,2,3,0.3333333333333333,18,1,3,1,1.0,1,0.0638297872340425,0.0638297872340425,2,0,1
2,15,0,3,3,4,0.25,31,8,6,0,0.0,0,0.1851851851851851,0.074074074074074,1,0,1
1,12,0,1,1,2,0.5,14,0,3,1,1.0,1,0.1290322580645161,0.032258064516129,0,0,1
1,16,0,2,2,3,0.3333333333333333,14,0,2,1,1.0,1,0.1875,0.0625,1,0,1
1,10,0,1,1,2,0.5,13,4,2,0,0.0,0,0.2333333333333333,0.1333333333333333,0,0,1
2,20,0,3,3,4,0.25,17,0,3,0,0.0,0,0.1333333333333333,0.0,0,0,1
2,8,4,1,1,2,0.5,14,0,3,0,0.0,0,0.2333333333333333,0.1333333333333333,0,0,1
1,22,0,2,2,3,0.3333333333333333,23,0,4,0,0.0,0,0.2692307692307692,0.0,1,0,1
2,13,3,1,1,2,0.5,83,0,11,0,0.0,0,0.0961538461538461,0.0288461538461538,3,0,1
2,14,0,1,1,2,0.5,17,7,3,0,0.0,0,0.2564102564102564,0.1794871794871795,2,0,1
2,17,0,2,2,3,0.3333333333333333,17,0,3,0,0.0,0,0.1904761904761904,0.0,5,0,1
2,15,0,1,1,2,0.5,35,8,6,0,0.0,0,0.2068965517241379,0.0862068965517241,0,0,1
2,16,0,2,2,3,0.3333333333333333,70,2,12,0,0.0,0,0.1170212765957446,0.0106382978723404,0,0,1
2,15,0,1,1,2,0.5,20,0,4,0,0.0,0,0.2558139534883721,0.0,1,0,1
2,13,0,2,2,3,0.3333333333333333,38,0,5,0,0.0,0,0.2033898305084746,0.0,2,0,1
1,16,0,1,1,2,0.5,43,0,8,0,0.0,0,0.1818181818181818,0.0,3,0,1
1,14,0,1,1,2,0.5,48,1,7,0,0.0,0,0.1594202898550724,0.0144927536231884,1,0,1
2,22,0,2,1,3,0.3333333333333333,156,47,56,0,0.0,0,0.053763440860215,0.010752688172043,0,0,1
2,15,0,1,1,2,0.5,31,1,5,0,0.0,0,0.2407407407407407,0.0185185185185185,0,0,1
1,11,0,2,2,3,0.3333333333333333,20,5,3,0,0.0,0,0.2105263157894736,0.131578947368421,0,0,1
1,20,0,4,4,5,0.2,5,0,1,1,1.0,1,0.0888888888888888,0.0444444444444444,0,0,1
1,18,1,2,2,3,0.3333333333333333,56,6,9,0,0.0,0,0.1234567901234567,0.0493827160493827,1,0,1
2,24,0,2,2,3,0.3333333333333333,14,0,3,0,0.0,0,0.3478260869565217,0.0,0,0,1
1,27,0,4,4,5,0.2,35,3,5,1,1.0,1,0.0973451327433628,0.0530973451327433,1,0,1
1,16,0,1,1,2,0.5,16,2,3,0,0.0,0,0.3076923076923077,0.0512820512820512,1,0,1
2,15,0,2,2,3,0.3333333333333333,32,8,6,0,0.0,0,0.1818181818181818,0.0727272727272727,2,0,1
1,17,2,2,2,3,0.3333333333333333,34,5,5,0,0.0,0,0.1379310344827586,0.0862068965517241,1,0,1
1,15,0,3,3,4,0.25,21,3,3,0,0.0,0,0.2093023255813953,0.0697674418604651,0,0,1
2,24,0,1,1,2,0.5,18,0,3,0,0.0,0,0.4,0.0,1,0,1
1,29,0,2,1,3,0.3333333333333333,19,12,2,0,0.0,0,0.2545454545454545,0.2181818181818181,1,0,1
1,14,0,2,2,3,0.3333333333333333,10,0,2,1,1.0,1,0.088235294117647,0.0735294117647058,1,0,1
2,9,0,1,1,2,0.5,32,1,6,0,0.0,0,0.1632653061224489,0.0204081632653061,0,0,1
1,12,0,2,2,3,0.3333333333333333,11,0,2,1,1.0,1,0.125,0.0833333333333333,2,0,1
1,11,0,1,1,2,0.5,9,0,2,0,0.0,0,0.2962962962962963,0.0,0,0,1
1,10,0,1,1,2,0.5,20,6,3,0,0.0,0,0.1891891891891892,0.1621621621621621,0,0,1
2,12,0,2,2,3,0.3333333333333333,61,0,9,3,0.3333333333333333,1,0.0909090909090909,0.0505050505050505,3,0,1
2,15,0,2,2,3,0.3333333333333333,10,0,2,1,1.0,1,0.1186440677966101,0.1694915254237288,1,0,1
1,28,0,3,2,4,0.25,24,0,3,0,0.0,0,0.2542372881355932,0.0,0,0,1
1,13,0,2,2,3,0.3333333333333333,19,4,3,0,0.0,0,0.2051282051282051,0.1025641025641025,0,0,1
1,24,0,2,2,3,0.3333333333333333,79,0,10,0,0.0,0,0.1363636363636363,0.0,4,0,1
1,13,0,2,1,3,0.3333333333333333,26,0,4,0,0.0,0,0.217391304347826,0.0,1,0,1
1,12,0,1,1,2,0.5,19,12,2,0,0.0,0,0.2105263157894736,0.3157894736842105,0,0,1
2,13,0,2,2,3,0.3333333333333333,67,41,2,0,0.0,0,0.0568181818181818,0.125,0,0,1
2,16,0,2,2,3,0.3333333333333333,41,2,7,0,0.0,0,0.1384615384615384,0.0153846153846153,0,0,1
2,15,0,1,1,2,0.5,24,3,3,0,0.0,0,0.2340425531914893,0.0425531914893617,0,0,1
2,32,0,2,2,3,0.3333333333333333,12,0,3,0,0.0,0,0.4807692307692308,0.0,1,0,1
1,16,0,2,2,3,0.3333333333333333,13,0,2,1,1.0,1,0.1860465116279069,0.0697674418604651,0,0,1
1,14,0,1,1,2,0.5,9,0,3,0,0.0,0,0.3666666666666666,0.0,0,0,1
1,11,0,1,1,2,0.5,14,0,3,1,1.0,1,0.175,0.1,0,0,1
2,13,0,1,1,2,0.5,20,0,4,0,0.0,0,0.2195121951219512,0.0,2,0,1
1,17,3,1,1,2,0.5,27,0,5,0,0.0,0,0.1568627450980392,0.0588235294117647,0,0,1
1,16,0,2,2,3,0.3333333333333333,19,4,3,0,0.0,0,0.238095238095238,0.0952380952380952,0,0,1
1,12,0,1,1,2,0.5,6,0,1,0,0.0,0,0.36,0.0,0,0,1
2,14,0,1,1,2,0.5,14,0,3,0,0.0,0,0.2777777777777778,0.0,0,0,1
1,34,0,2,2,3,0.3333333333333333,18,0,3,1,1.0,1,0.2429906542056074,0.02803738317757,0,0,1
2,13,0,2,2,3,0.3333333333333333,20,0,3,1,1.0,1,0.1176470588235294,0.1058823529411764,1,0,1
1,17,0,1,1,2,0.5,43,6,7,0,0.0,0,0.1940298507462686,0.0597014925373134,0,0,1
2,17,0,1,1,2,0.5,63,0,13,0,0.0,0,0.1477272727272727,0.0,1,0,1
1,8,2,1,1,2,0.5,23,8,3,0,0.0,0,0.2105263157894736,0.2105263157894736,0,0,1
1,13,0,1,1,2,0.5,15,0,3,4,0.25,1,0.1515151515151515,0.0,2,0,1
1,16,0,1,1,2,0.5,28,0,5,0,0.0,0,0.2352941176470588,0.0,0,0,1
2,18,0,1,1,2,0.5,63,0,11,0,0.0,0,0.1573033707865168,0.0,2,0,1
1,11,0,2,2,3,0.3333333333333333,20,6,3,0,0.0,0,0.1842105263157894,0.1578947368421052,0,0,1
2,14,0,1,1,2,0.5,41,0,6,0,0.0,0,0.1587301587301587,0.0,1,0,1
2,21,0,2,2,3,0.3333333333333333,59,3,9,0,0.0,0,0.1477272727272727,0.0227272727272727,1,0,1
2,29,0,3,3,4,0.25,34,11,5,1,1.0,1,0.053763440860215,0.032258064516129,2,0,1
1,17,0,2,2,3,0.3333333333333333,31,0,6,0,0.0,0,0.1818181818181818,0.0,1,0,1
1,21,0,2,2,3,0.3333333333333333,11,0,2,2,0.5,1,0.1444444444444444,0.0888888888888888,1,0,1
2,16,0,2,2,3,0.3333333333333333,14,0,3,1,1.0,1,0.1022727272727272,0.0909090909090909,1,0,1
2,17,0,2,2,3,0.3333333333333333,105,0,17,0,0.0,0,0.0769230769230769,0.0,1,0,1
1,23,0,5,4,6,0.1666666666666666,72,0,11,1,1.0,1,0.1,0.0,4,0,1
2,18,0,1,1,2,0.5,9,0,3,0,0.0,0,0.4,0.0,1,0,1
2,23,0,3,3,4,0.25,63,8,11,0,0.0,0,0.1276595744680851,0.0425531914893617,2,0,1
1,21,0,2,2,3,0.3333333333333333,39,6,7,0,0.0,0,0.1940298507462686,0.0597014925373134,1,0,1
1,21,0,3,3,4,0.25,15,0,2,1,1.0,1,0.125,0.1125,2,0,1
2,12,0,1,1,2,0.5,15,0,1,0,0.0,0,0.4,0.0,0,0,1
1,28,0,1,1,2,0.5,32,0,6,0,0.0,0,0.3582089552238806,0.0,1,0,1
2,14,0,1,1,2,0.5,1,0,1,1,1.0,1,0.2580645161290322,0.1612903225806451,0,0,1
2,22,0,3,2,4,0.25,5,0,1,1,1.0,1,0.0681818181818181,0.0303030303030303,4,0,1
2,17,0,2,2,3,0.3333333333333333,69,4,14,0,0.0,0,0.1063829787234042,0.0212765957446808,1,0,1
2,18,0,2,2,3,0.3333333333333333,30,0,5,0,0.0,0,0.1785714285714285,0.0,0,0,1
2,15,0,2,2,3,0.3333333333333333,49,3,8,0,0.0,0,0.1388888888888889,0.0416666666666666,0,0,1
2,14,0,2,2,3,0.3333333333333333,33,0,4,1,1.0,1,0.1538461538461538,0.0923076923076923,1,0,1
2,13,0,1,1,2,0.5,60,0,8,0,0.0,0,0.1358024691358024,0.0,1,0,1
1,8,1,1,1,2,0.5,14,2,3,0,0.0,0,0.1724137931034483,0.0689655172413793,0,0,1
1,16,0,1,1,2,0.5,30,0,4,0,0.0,0,0.2264150943396226,0.0,1,0,1
1,20,0,2,2,3,0.3333333333333333,37,0,4,2,0.5,1,0.1181818181818181,0.0636363636363636,1,0,1
2,13,0,2,2,3,0.3333333333333333,12,0,2,1,1.0,1,0.0509803921568627,0.0235294117647058,1,0,1
1,13,0,1,1,2,0.5,103,36,37,0,0.0,0,0.08130081300813,0.016260162601626,0,0,1
2,19,0,2,2,3,0.3333333333333333,27,0,3,1,1.0,1,0.1884057971014492,0.0289855072463768,1,0,1
1,16,0,1,1,2,0.5,18,9,4,0,0.0,0,0.3170731707317073,0.1219512195121951,1,0,1
2,13,0,2,2,3,0.3333333333333333,86,13,13,0,0.0,0,0.1121495327102803,0.0560747663551401,0,0,1
1,8,0,1,1,2,0.5,15,3,3,0,0.0,0,0.1666666666666666,0.1,0,0,1
2,12,0,1,1,2,0.5,50,0,9,0,0.0,0,0.1142857142857142,0.0,1,0,1
1,20,0,2,2,3,0.3333333333333333,128,4,20,0,0.0,0,0.0838709677419354,0.0258064516129032,1,0,1
1,9,2,1,1,2,0.5,37,2,7,0,0.0,0,0.1509433962264151,0.0377358490566037,1,0,1
1,12,0,2,2,3,0.3333333333333333,16,5,3,0,0.0,0,0.1428571428571428,0.1428571428571428,0,0,1
1,17,0,1,1,2,0.5,72,2,11,0,0.0,0,0.1354166666666666,0.0104166666666666,0,0,1
2,20,0,2,2,3,0.3333333333333333,29,6,5,0,0.0,0,0.2105263157894736,0.0701754385964912,2,0,1
2,18,0,3,2,4,0.25,10,4,2,0,0.0,0,0.1666666666666666,0.1111111111111111,0,0,1
1,14,6,2,2,3,0.3333333333333333,20,8,3,0,0.0,0,0.0975609756097561,0.1463414634146341,0,0,1
1,13,0,2,2,3,0.3333333333333333,5,0,2,1,1.0,1,0.1818181818181818,0.1515151515151515,0,0,1
2,10,0,2,1,3,0.3333333333333333,73,13,11,0,0.0,0,0.0989010989010989,0.0549450549450549,1,0,1
2,25,0,1,1,2,0.5,42,0,7,0,0.0,0,0.28,0.0,1,0,1
1,30,0,2,2,3,0.3333333333333333,77,0,12,0,0.0,0,0.1929824561403508,0.0,2,0,1
